,ProgramID,Video,Program Title_x,month,day,year,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
90,06032020- U,jyF4xHtG_K0,Science From the Frontlines:Virus Entry into Cells,06,03,2020,117.0,19.4394,8.0,256,5.86
91,01132014- U,tm-zqCMYGPo,When Crocs Ate Dinosaurs - Paul Sareno,01,13,2014,116.0,2.9082,0.0,2604,1.88
92,100519-HW,S3_sq7jMDic,Filtering the Facts of Kidney Health,10,22,2019,115.0,6.6792,1.0,2889,1.0
93,03092016- U,JLcX5nKrHdw,"How We Treat Cancer (Recorded Thursday, February 25th, 2016)",03,09,2016,113.0,12.3373,0.0,1213,1.73
94,02212015- U,ep81j6lrtow,"How to be Healthy When You're Older Highlights - W. Chodzko‑Zajko, W. Dale, and L. Hawkley",02,21,2015,112.0,2.4238,0.0,1413,2.19
95,05052017- U,-7d9JvljA5k,Extreme Science The U S  Antarctic Program Highlights With Kelly Kenison Falkner,05,05,2017,110.0,3.1198,0.0,3234,1.33
96,05052015- U, -IngIy99KMo,"The Threat of Superbugs - Robert A. Weinstein, Robert S. Daum, Scott Franzblau, and Michael Federle",05,05,2015,109.0,12.1893,2.0,1747,1.49
97,04292015- U,R1Pqri0rTJY,"The Threat of Superbugs - Robert A. Weinstein, Robert S. Daum, Scott Franzblau, and Michael Federle",04,29,2015,,,,1,0.0
98,06032015- U,svLflyS1H5Y,When Playing Sports is Bad For Your Brain - Highlights,06,03,2015,109.0,2.0671,0.0,1760,3.01
99,12192015- U,X8ImshJZAs4,"Women in STEM: Connect 2015. Interview with Kapila Viges, Mary Bauer and Debra Shore",12,19,2015,107.0,1.0091,0.0,1878,0.37
100,12072015- U,qZPpF4CIHkM,"A Picture is Worth 1000 Words--Teaching Science With Comics, with MK Czerwiec",12,07,2015,107.0,11.1609,0.0,3857,0.99
101,041218-CEE,aja10Wlvafs,The Future of Trees: Hope in a Changing Climate,04,16,2018,104.0,12.789000000000001,2.0,1728,1.33
102,04212016- U,zSCNdnypA2U,The Science of Addiction Highlights,04,21,2016,104.0,4.3601,0.0,970,1.03
103,12012017- U,jELZy2xl9dI,Mathematics--It's as Easy as Pi!,12,01,2017,101.0,9.6268,1.0,1325,1.66
104,11202017- U,wnUVJIQeFvw,Mathematics--It's as Easy as Pi!,11,20,2017,43.0,8.2866,2.0,35,0.0
105,06172019- U,BNfmjmGFa2M,"C2ST Presents the 2018 FNIH Lurie Prize in Biomedical Sciences Winner Zhijian ‘James’ Chen, PhD",06,17,2019,100.0,13.4924,1.0,1814,3.31
106,061418-CEE, -Hiyx7HRCKw,Extreme Storms,06,25,2018,97.0,13.720999999999998,1.0,880,3.41
107,05232019- U,Uh7I-37tQMQ,"The Long and Short of Proteomics, How Proteins Shape Who We Are",05,23,2019,97.0,8.0053,1.0,1255,2.95
108,01102020- U,GRjVC0cZx5Q,Program Q&A: The Art of Logic with Dr. Eugenia Cheng,01,10,2020,95.0,8.0824,0.0,1454,2.48
109,101017-TEI,dG5ZuXZ4CRE,Technology and Politics,12,27,2017,92.0,2.9945,0.0,1004,5.08
110,12082018- U,UVoTXwVD8ec,C2ST and 2Blades Present: Food Evolution,12,08,2018,91.0,6.7764,0.0,1392,1.72
111,01072019- U,AcVkbMeXRT0,"C2ST and 2Blades Present: Food Evolution, Highlights",01,07,2019,87.0,2.762,0.0,1050,2.57
112,12112014- U,zirDb0caM-g,"2014 Women in STEM - E. Graslie, C. Thomas, A. Schlenker, O. Alabi, S. Hallen, and C. Phillips",12,11,2014,86.0,4.9256,0.0,1319,2.65
113,06172019- U,koFdD2GCBgc,Alvin H. Baum Family Fund Environmental Series: Does Recycling Still Matter? Program,06,17,2019,82.0,7.162999999999999,1.0,1258,0.87
114,100115-LS,yS0Uuox1FzM,What is the BRAIN Initiative?,10,02,2015,81.0,11.513,1.0,1118,1.88
115,11192014- U,XopRqdd-7BE,Decoding the New Science and Math Standards Highlight - Mary Rockrohr,11,19,2014,78.0,1.0376,0.0,708,0.99
116,10272018- U,_OqaoulZG0Q,"Science Riot - Travis Gallo, PhD",10,27,2018,77.0,3.0549,0.0,797,3.39
117,04302012- U,kvpQoLmXwyc,"The Mind of a Chimpanzee - Elizabeth Lonsdorf, Steve Ross",04,30,2012,77.0,6.9985,0.0,770,2.47
118,040418-SS,UnCSWLE7Cmg,Science is a Verb. We Must Get Sciencing. The World Requires It!,04,14,2018,76.0,4.6509,1.0,1082,1.48
119,12072017- U,KoGLipprvEo,Unconscious Bias Highlights,12,07,2017,74.0,1.3807,0.0,664,1.51
120,12052011- U,Y-WPTlI1QdQ,"Street Corner Science Ask a Nobel Laureate Highlights, September 2011 - Leon Lederman",12,05,2011,74.0,1.7976,0.0,2374,1.18
121,02142019- U,5PBWi0hYSo8,Array of Things Highlights,02,14,2019,73.0,2.3073,0.0,796,2.64
122,020619-TEI,vejzqy8CNc8,Array of Things,02,12,2019,69.0,5.5520000000000005,0.0,1047,3.06
123,030916-CEE,MmH9cveACvY,Climate Disruption: What We Can Do Now,03,10,2016,68.0,4.0667,0.0,590,2.54
124,11192014- U,joDR_Vp5Flg,Decoding the New Science + Math Standards Highlight - Brian Reiser,11,19,2014,68.0,1.3495,0.0,1000,0.4
125,10242019- U,rAACBWm0c5A,Talking Trees with Author Richard Powers (Audio Only),10,24,2019,66.0,6.2303,0.0,654,1.38
126,06172019- U,RSqfHO4BKv0,"Program Q&A, The 2018 FNIH Lurie Prize in Biomedical Sciences Winner Zhijian ‘James’ Chen, PhD",06,17,2019,65.0,8.336,0.0,1197,2.51
127,10152018- U,ByR7n5P7jX4,Science Riot - Juanita Garcia,10,15,2018,63.0,1.4361,0.0,845,2.13
128,11072013- U,YsUgHpIlLe4,Investing in Innovation for the Future: Science and Technology 3/21/2013 - Robert D. Atkinson,11,07,2013,63.0,7.6475,0.0,1191,1.43
129,04142014- U,qFnIGgGaA3I,Is This Safe to Eat? - Robert E. Brackett and Eric C. Larson,04,14,2014,62.0,4.6102,0.0,1883,0.69
130,03292014- U,tHeRyZ1Vlg0,"The Order of Crystallography January 22, 2014 - Keith Moffat, John Kallend",03,29,2014,62.0,1.9951,0.0,668,2.1
131,12092017- U,9JdfT6LRte4,Mathematics--It's as Easy as Pi Highlights,12,09,2017,61.0,1.6536,0.0,1218,1.64
132,11262014- U,PcQ68vTPXb4,"The Future of Work, Part 1 - Larry Birnbaum, Kris Hammond, Malcolm MacIver, and Joel Mokyr",11,26,2014,61.0,1.1246,1.0,1031,2.04
133,05082020- U,fqy1M47Pqeg,Science from the Frontlines:  Perceptions and Public Understanding of COVID-19 (Virtual Program),05,08,2020,61.0,4.2903,2.0,2050,1.37
134,03162018- U,_O4-KkucxQc,Investing in Science and Education: An Act of Faith; An Evening with John Rowe,03,16,2018,60.0,1.3329,0.0,1211,0.74
135,11192014- U,atEFHtvK3Ms,The Future of Work Highlight - Kris Hammond,11,19,2014,60.0,0.8889,0.0,683,1.17
136,01011970- U,E7GHdUTI-QY,"Science From The Frontlines: COVID-19 Control Measures in Zhejiang, China",01,01,1970,58.0,4.1032,0.0,21,0.0
137,10212018- U,rbTbWKGHQ5g,"Science Riot - Daniele Procissi, PhD",10,21,2018,56.0,2.6784,1.0,637,2.35
138,09102012- U,1uz_KAtg0rE,Street Corner Science: Ask a Nobel Laureate - Laureate Leon Landerman,09,10,2012,55.0,12.5182,0.0,1485,1.95
139,02082019- U,2WJca5QFhHg,STEM Ask & Learn January 2019,02,08,2019,55.0,0.258,0.0,413,2.42
140,03032019- U,7dt9NJyGAVc,"Resilience, Empathy, Plasticity Women in Neuroscience",03,03,2019,55.0,6.1974,0.0,1368,1.61
141,08242018- U,TMoCSOEP1mQ,"Sleep and Clocks, Windows to Health, Highlights",08,24,2018,55.0,1.4122,1.0,801,2.25
142,111716-CEE,X8WyYNXgTp8,Climate Change and Energy Needs: Finding a Path to Sustainability,12,14,2016,55.0,13.9086,0.0,684,2.05
143,05082019- U,6BIQo9pOx2M,STEM Ask & Learn May 2019,05,08,2019,54.0,0.7751,0.0,448,2.46
144,05012019- U,vW3KL97bGUw,"How Trees Can Help the World: Re-treeing Communities and Making the World a Cooler Place to Live, #1",05,01,2019,54.0,1.6162,1.0,686,1.46
145,11112014- U,xCR_jC6kEzw,"ChicaGO Science - Debra Shore, C2ST, and HDMZ (Water: Chicago in the 21st Century and Beyond)",11,11,2014,54.0,1.0867,0.0,1272,0.79
146,12092011- U,uJ7Pcd5_3vA,"Storing Alternative Energies - Mohammad Shahidehpour, Micheal R. Wasielewski and Jeff Chamberlain",12,09,2011,53.0,2.0595,0.0,814,2.09
147,03312018- U,K_8PbTtF9e4,Personalized Medicine - One size does not fit all! Highlights,03,31,2018,51.0,2.8317,0.0,825,1.45
148,09042020- U,1dkjVjmKoHA,Virus Entry into Cells Highlights (SFTFL),09,04,2020,50.0,0.1702,4.0,703,4.55
149,10122018- U,TLZrkZDnwPM,Head Banging: How Music and Concussions Impact Brain Health,10,12,2018,50.0,2.6510000000000002,0.0,937,1.92
150,10012018- U,Sk3xTxaQXDI,Head Banging: How Music and Concussions Impact Brain Health,10,01,2018,20.0,0.2399,0.0,123,4.88
151,10152018- U,HiMC5z0WrU8,Science Riot - Abhinav Bhushan,10,15,2018,49.0,1.3998,0.0,1224,2.37
152,022019-HW,MbHjnaq9SCk,"Mindfulness, Meditation, and Yoga",03,04,2019,49.0,7.3993,1.0,946,1.16
153,11192014- U,8qZVvcJc_Wc,Decoding the New Science and Math Standards Highlight - Lynn Narasimhan,11,19,2014,48.0,0.5769,0.0,793,0.76
154,04272018- U,Gv62bexrPaY,The Future of Trees Hope in a Changing Climate Highlights,04,27,2018,48.0,1.1281,1.0,1183,1.18
155,12102014- U,00bU4j8L_6Q,"Science + Cinema: New Screen Frontiers - Peggy Mason, John A Kessler, and Mark Oreglia",12,10,2014,47.0,2.154,0.0,1425,1.82
156,12052011- U,r-rQ0ND0GTk,Seth Mnookin Panic Virus MSI Lecture,12,05,2011,47.0,4.6086,0.0,1623,1.42
157,01032019- U,Ixy_Ib87nqI,"Bionics, Robotics, and the Future of Rehabilitation from the Shirley Ryan AbilityLab, Q&A",01,03,2019,46.0,0.892,0.0,927,2.05
158,05152020- U,XeMYfUbjkS4,Science from the Front-lines Racial Disparity in COVID 19 Cases (Virtual Program),05,15,2020,46.0,4.5949,0.0,2471,0.77
159,02152015- U,n6t7JCUsdvk,"Water: Chicago in the 21st Century and Beyond - Debra Shore, Aaron Packman, and Seth Snyder",02,15,2015,44.0,8.9617,0.0,1308,0.92
160,05102020- U,p1oBhDvcObQ,Science from the Frontlines: Fighting COVID-19(Virtual Program),05,10,2020,44.0,3.0224,0.0,2811,0.82
161,02242015- U,yRvvdKLQz5w,"Water: Chicago in the 21st Century and Beyond Highlights - Debra Shore, Aaron Packman, & Seth Snyder",02,24,2015,44.0,0.9453,0.0,900,0.33
162,111317-SS,p_3GDBkw3H4,Unconscious Bias,11,28,2017,42.0,5.7522,0.0,1224,0.82
163,111317-SS,p_3GDBkw3H4,Unconscious Bias,11,28,2017,42.0,5.7522,0.0,1224,0.82
164,111317-SS,1Pwlog7ZtLU,Unconscious Bias,11,20,2017,21.0,2.5323,0.0,9,0.0
165,111317-SS,1Pwlog7ZtLU,Unconscious Bias,11,20,2017,21.0,2.5323,0.0,9,0.0
166,04202015- U,shtDx8nuJsw,"Music - There's a Science to That Highlights - Nicolas Collins, Doug McBride, & Torin Hopkins",04,20,2015,41.0,1.2842,0.0,793,0.63
167,05202015- U,2j1yAilJbcg,"When Playing Sports is Bad For Your Brain - Dorothy Kozlowski, Jeffrey Mjaanes, and Peggy Mason",05,20,2015,40.0,2.0422,0.0,1163,0.69
168,02232017- U,VX3EfOoYjeI,Why in the World Haven’t We Cured Alzheimer’s by Now?,02,23,2017,40.0,1.2529,0.0,1041,1.15
169,05282020- U,J-Y7GGIugL0,Science From the Front-lines Gender Disparity in COVID 19 Cases (Virtual Program),05,28,2020,38.0,4.1395,0.0,2550,0.59
170,08132012- U,Iunad9WaGi4,Women in Science Symposium: Big Ideas and Big Impact - Melissa Gilliam,08,13,2012,37.0,1.5702,0.0,1020,1.27
171,11072013- U,D8RzWk2AXWA,"C2ST: Women in Science Symposium : Building an Identity, 2010 Keynote",11,07,2013,36.0,1.1573,0.0,488,3.48
172,12282019- U,KSXBZGio1oQ,Program Q&A: The Case for Including Every(Body),12,28,2019,35.0,1.5281,0.0,833,2.16
173,03012019- U,nTmd2sRRQsA,STEM Ask & Learn March 2019,03,01,2019,35.0,0.2783,0.0,477,2.52
174,05052015- U,3widWzQesyI,"The Threat of Superbugs Highlights - R.A. Weinstein, R.S. Daum, S. Franzblau, and M. Federle",05,05,2015,34.0,0.9232,0.0,1219,0.74
175,06022020- U,UWmOjaDJWbE,Science From The Frontlines: Virus Entry into Cells,06,02,2020,34.0,1.9091,0.0,1971,0.76
176,11122013- U,T4kpN936RH0,The Price of Doing Nothing: The World's Energy Future Highlights - George  Crabtree,11,12,2013,33.0,0.4802,0.0,1003,0.7
177,03282019- U,UbO_CSzaVaU,"How Sexual Harassment Culture Infects Academia, Highlights",03,28,2019,33.0,1.3071,0.0,1413,1.06
178,10242019- U,fgW0hJnCXZ4,"Program Q&A: Trailblazer of Physics: The Extraordinary Life of Leon Lederman, Ask A Physicist Panel",10,24,2019,33.0,1.7933,0.0,853,1.64
179,04112019- U,tjYjR65k1JM,The Science of Star Wars Highlights,04,11,2019,33.0,0.6491,0.0,711,1.69
180,11112019- U,wt8Ra8OKyFE,STEM Ask & Learn 2 November 2019,11,11,2019,33.0,0.3095,0.0,490,2.24
181,12102014- U,ytKPHAMhphE,2014 Women in STEM: Connect Highlight  - Carolyn Phillips,12,10,2014,33.0,0.2032,0.0,773,0.39
182,10172019- U,EC2aDXK_Bfs,Women in STEM Ask & Learn October 2019,10,17,2019,32.0,0.2313,0.0,572,1.75
183,12092011- U,VDueXquDTl4,Hubble's Story - John Grunsfeld,12,09,2011,32.0,0.4756,0.0,977,1.64
184,12052011- U,RfAlrZh7fs4,Cyber Security 02/17/2011 -Michael Skwarek and Jason DeHaan,12,05,2011,31.0,2.1449,0.0,221,3.17
185,09252015- U,ZE08Ne1SNh4,"#Asthma, #Comics & Metaphor w/ Dr. Alex Thomas",09,25,2015,31.0,0.6737,0.0,2893,0.62
186,11262014- U,kNpJDTlwMoY,"The Future of Work, Part 2 - Larry Birnbaum, Kris Hammond, Malcolm MacIver, and Joel Mokyr",11,26,2014,30.0,0.2351,0.0,844,1.07
187,10162018- U,8MLyI9o0-VY,Science Riot - Yeva Shan,10,16,2018,29.0,1.1059999999999999,0.0,530,2.08
188,05302019- U,M1xkqIs8Kzs,STEM Ask & Learn June 2019,05,30,2019,29.0,0.2754,0.0,505,1.58
189,02032012- U,UdOdthMV_zE,"Gene Patenting: The  Economic Legal and Health Dilemma 11/10/2011- Philip, Rena , Robert",02,03,2012,29.0,1.9452,0.0,537,1.3
