in_programs_tbl,post_code,Post ID,Permalink,post_name,month,day,year,post_normal_x,Type,Lifetime Post Total Impressions,Lifetime Total Video Views,Lifetime Unique Video Views
N,06112019_U,163815626997995_659993134518388,https://www.facebook.com/C2ST1/videos/659993134518388/,U,6,11,2019,"the recycling industry is in crisis. after decades of growth and public acceptance, nearly all americans now have access to some type of recycling services. but are these services providing what we expect? how much of what we put into the bins is actually recycled? many people are still confused about recycling rules that change depending on where they live. the ripple effects of china’s recent policy changes to restrict most foreign plastic and cardboard imports have skyrocketed costs in the u.s. and caused some municipalities to close down recycling operations. meanwhile, chicago’s program has faced further scrutiny over its handling of the city’s privatized recycling services, highlighted in a recent better government association investigation that found one private company hired by the city has a financial incentive to send recyclable materials to its own dump.

a panel discussion lead by bga reporter madison hopkins and featuring carter o’brien, sustainability officer with the field museum, michelle thoma, president of the chicago recycling coalition and general counsel for elevate energy, and kuldip kumar, an environmental scientist with the metropolitan water reclamation district, will explore the future of recycling in chicago and across the country. the discussion will emphasize ideas for large organizations, local governments, and individuals to understand and what waste management opportunities are available.

this program is part of the alvin h. baum family fund environmental series.",2,1651,481,381
N,04032019_U,163815626997995_1237015259788586,https://www.facebook.com/C2ST1/videos/1237015259788586/,U,4,3,2019,"star wars – the fight of the light side of the force against the dark side – is a story that has fascinated us for the last 40 years. a crucial part of this story is the unbelievable scientific and technological advances – traveling through hyperspace, lightsabers, holograms, the discovery of habitable planets – that fill the universe. but are these advances really beyond our reach, or have we already surpassed some of them? are they even scientifically possible? if you want to hear the answers to these questions, join us for a lecture on the science behind star wars, and the physical laws that we have to “bend” to make them work.

this talk discusses the physical laws and concepts underlying the scientific advances portrayed in the star wars movies. it thus provides a connection between the popular ideas and visions of star wars and actual cutting edge science. it reviews the physics of

“the force” in the context of the standard model of high energy physics
“light sabers” in the context of electromagnetism, light waves and quantum mechanics
“faster than light travel” in the context of einstein’s special theory of relativity
“exoplanets and intelligent life” in the context of discovering exoplanets
“death star” in the context of gravitational energy
“robots and artificial intelligence” in the context of creating neural networks and computing power.",2,300,77,71
N,01182019_U,163815626997995_2051144061598466,https://www.facebook.com/C2ST1/posts/2051144061598466,U,1,18,2019,the chicago council on science and technology shared an episode of sciencetake.,1,299,87,85
N,03182019_U,163815626997995_2134502726595932,https://www.facebook.com/C2ST1/posts/2134502726595932,U,3,18,2019,[empty],1,246,56,53
N,03202019_U,163815626997995_2137176182995253,https://www.facebook.com/C2ST1/posts/2137176182995253,U,3,20,2019,[empty],1,231,51,51
N,03082019_U,163815626997995_2121538151225723,https://www.facebook.com/C2ST1/posts/2121538151225723,U,3,8,2019,[empty],1,192,28,27
N,02012019_U,163815626997995_2070446699668202,https://www.facebook.com/C2ST1/posts/2070446699668202,U,2,1,2019,horizon pharma visited  perspectives charter schools to talk to students about college and entering stem fields. watch the interview here.,2,767,177,158
N,08052019_U,163815626997995_2360857287293807,https://www.facebook.com/C2ST1/posts/2360857287293807,U,8,5,2019,[empty],1,249,74,68
N,07292019_U,163815626997995_2349306381782231,https://www.facebook.com/C2ST1/posts/2349306381782231,U,7,29,2019,[empty],1,375,88,84
N,10072019_U,163815626997995_2473183669394501,https://www.facebook.com/C2ST1/posts/2473183669394501,U,10,7,2019,[empty],1,154,40,39
N,08162019_U,163815626997995_2379531058759763,https://www.facebook.com/C2ST1/posts/2379531058759763,U,8,16,2019,[empty],1,197,58,58
N,09052019_U,163815626997995_2414672348578967,https://www.facebook.com/C2ST1/posts/2414672348578967,U,9,5,2019,[empty],1,196,22,22
N,08252019_U,163815626997995_2394687233910812,https://www.facebook.com/C2ST1/posts/2394687233910812,U,8,25,2019,[empty],1,600,212,199
N,07042019_U,163815626997995_2306334576079412,https://www.facebook.com/C2ST1/posts/2306334576079412,U,7,4,2019,the chicago council on science and technology shared an episode of skunk bear.,1,307,47,43
N,08262019_U,163815626997995_2396871453692390,https://www.facebook.com/C2ST1/posts/2396871453692390,U,8,26,2019,the chicago council on science and technology,1,152,39,39
N,11112019_U,163815626997995_2544941092218758,https://www.facebook.com/C2ST1/posts/2544941092218758,U,11,11,2019,"as a part of our ongoing initiative to introduce students to stem professionals from a wide variety of backgrounds, horizon therapeutics and the chicago council on science and technology visited @perspectivescs to talk to students about college and entering stem fields. watch the interview here and check for a new video each month.  https://buff.ly/2cyy5fk",2,143,37,34
N,11212019_U,163815626997995_442777316441180,https://www.facebook.com/C2ST1/videos/442777316441180/,U,11,21,2019,"join us as c2st hosts renowned mathematician eugenia cheng as she discusses how we can utilize logic in our everyday lives!

for thousands of years, mathematicians have used the timeless art of logic to see the world more clearly. today, truth is buried under soundbites, spin, memes, divisive arguments and “fake news”. seeing clearly is more important than ever. in this talk, i will show how anyone can think like a mathematician to understand what people are really telling us. taking a careful scalpel to politics, privilege, sexism and dozens of other real-world situations, i will show that math is not just about numbers and equations, but is about thinking better, and that it can help us find clarity without losing nuance in this complex world of ours.",2,432,167,129
N,12062019_U,163815626997995_1691772297631304,https://www.facebook.com/C2ST1/videos/1691772297631304/,U,12,6,2019,"inclusive practices and promoting diversity have been major challenges in stem fields. however, people with disabilities are often left out of this important conversation. complicating this issue are misunderstandings of what it means to be disabled and what barriers limit disabled access in stem. 
 
what strategies can be used to create a smoother transition for people with disabilities as they complete their education and transition into the workforce? what resources can people with disabilities use to help advocate for themselves? to help answer these questions, learn about the experiences of people with disabilities in stem, and hear about current research join us for a panel discussion with advocates dr. maureen dunne, helen rottier, and dr. susan magasi. 
 
with the aim of a more diverse future workforce, c2st’s inclusiveness in stem series focuses on the importance of allies, self-esteem, recognition, and representation to help minorities overcome barriers that may prevent them from entering stem careers or achieving longer and greater success in these fields. these discussions will advocate for a more inclusive and diverse workforce and will highlight the importance of perception as it relates to achievement in stem fields.",2,461,119,110
N,06022020_U,163815626997995_545604132782615,https://www.facebook.com/C2ST1/videos/545604132782615/,U,6,2,2020,"join c2st and dr. sarah connolly to examine herpesviruses and the first step of virus infection—viral entry.

as the world grapples with the covid-19 pandemic, understanding viruses and how they function has become essential. the first step of every virus infection is the virus entering a host cell.  how does this happen?  proteins on the surface of the virus interact with receptors on the surface of a cell to trigger changes in the virus that allow it to penetrate the cell. using herpesviruses as a model, dr. connolly will explain the basics of virus entry and how an understanding of this can help researchers develop antiviral drugs and vaccines.",2,1146,324,251
N,04162020_U,163815626997995_233548857988277,https://www.facebook.com/C2ST1/videos/233548857988277/,U,4,16,2020,"the shortage of personal protective equipment (ppe) and the increasing demand has been front and center in the struggle to contain covid-19.

ppe such as masks and face shields are essential for healthcare workers to protect themselves, their patients, and the public by reducing the chances of transmission. although industry providers have ramped up production, local makers and makerspaces are also addressing this ongoing issue. by utilizing open-source templates, local makers from depaul’s idea realization lab and illinois ppe network are 3d printing ppe from their own homes and providing this essential equipment to those who need it most.

in our third installment in the science from the frontlines series, join c2st and jayson margalus, faculty director of the idea realization lab, for a deeper look into the makers and their work to develop and deliver ppe all across illinois.",2,1561,587,486
N,04072020_U,163815626997995_1094969944203589,https://www.facebook.com/C2ST1/videos/1094969944203589/,U,4,7,2020,"coronavirus disease 2019 (covid-19) has brought the world to a standstill over the last months, weeks, and days. as fear and panic increase among members of the public, it is more important than ever that accurate information about this novel virus reaches the concerned public. to assist in this important endeavor to ensure accurate information from valid, qualified authorities on covid-19 reaches the public, the chicago council on science and technology will host a series of free online lectures with qanda segments. hear from and ask questions of chicago’s esteemed researchers who are on the frontlines of covid-19 research on topics ranging from vaccines to viral biology to social implications. as always, we are here to provide scientifically accurate information and make it accessible to all. 

in our first program of the series, alicia frasier, mph, of rti international will discuss a survey that she helped to create that looks at early findings of americans’ knowledge of the coronavirus and support for community mitigation strategies. frasier will discuss the implications of this survey and how it could help inform next steps for public health officials, local and regional governments, and the public at large.",2,850,321,222
N,05072020_U,163815626997995_577273266243327,https://www.facebook.com/C2ST1/videos/577273266243327/,U,5,7,2020,"join c2st and our panel of local experts for a panel discussion on health inequalities and how they are contributing to covid-19 rates. across the united states, tracking covid-19 has indicated disproportionate rates affecting african american and black communities. for chicago, this means taking a closer look at the experiences of southside and westside communities. while research is in the initial stages,  examining existing inequalities and what they mean for a community’s health provides insight into this ongoing issue.",2,1973,365,273
N,05202020_U,163815626997995_586122298677190,https://www.facebook.com/C2ST1/videos/586122298677190/,U,5,20,2020,"join c2st for our 5th science from the frontlines program and learn how the severity and manifestation of covid-19 symptoms are impacted by gender!

gender differences in covid-19 disease severity have been described in multiple countries, with reports indicating that men often experience more severe disease and greater mortality. dr. kovats will summarize available information about the observed gender differences in covid-19 severity and outline possible social and biological explanations for this gender disparity. one hypothesis is that men and women differ in aspects of the immune response to sars-cov-2 infection. after a brief primer on the innate and adaptive arms of the immune system, dr. kovats will review the evidence for sex differences in immune function in humans and animal models and describe how androgens and estrogens modulate immunity. she will explain how covid-19 patient blood samples might be used to understand the gender differences in immune responses at the molecular and cellular level.",2,322,144,103
N,04092020_U,163815626997995_238121774051017,https://www.facebook.com/C2ST1/videos/238121774051017/,U,4,9,2020,"dr. karla satchell has been a frequent name in the news as she leads a team of researchers to examine the atomic structure of coronavirus disease 19 (covid-19), an integral step in devising a means for fighting covid-19 as the virus continues to spread. satchell leads the center for structural genomics of infectious diseases, a consortium of nine labs at eight schools collaborating on the effort to better understand and devise a means for fighting the continued spread of covid-19. the team is mapping out the proteins of the virus with the aim of finding a weak spot where medication can intervene and stop the virus from replicating in humans.

join c2st for a discussion with dr. karla satchell on the integral work she and her fellow researchers are conducting to fight and prevent the spread of covid-19.",2,799,307,243
N,05262020_U,163815626997995_252822859161206,https://www.facebook.com/C2ST1/videos/252822859161206/,U,5,26,2020,"join c2st and koval for a virtual tour and tasting while dr. sonat birnecker hart guides us through the production of hand sanitizer!

koval distillery is known for creating a line of organic and kosher whiskey, gin, and specialty spirits using unique grains, a signature “heart cut” technique, and only the absolute best quality ingredients. as one of the largest independent and woman-owned craft distilleries in the us, koval is frequently awarded internationally for its bright flavors and eye for design.

as of march 2020, koval has shifted its operations to help provide alcohol-based sanitizer to those on the front lines in the fight against covid-19. to date, they have donated over 3,000 gallons of sanitizer to chicagoland first responders and community organizations. through a virtual tour, get an inside look into how a distillery transitions to produce hand sanitizer and sip along during an optional virtual tasting as dr. hart answers questions live.

more info on purchasing sanitizer and contributing to their donation efforts can be found here: https://www.koval-distillery.com/newsite/sanitizer-info.",2,506,221,167
N,07132020_U,163815626997995_3100209363358592,https://www.facebook.com/C2ST1/posts/3100209363358592,U,7,13,2020,[empty],1,248,31,30
N,09092020_U,163815626997995_3268804819832378,https://www.facebook.com/C2ST1/posts/3268804819832378,U,9,9,2020,[empty],1,92,13,13
N,07212020_U,163815626997995_955219121616822,https://www.facebook.com/C2ST1/videos/955219121616822/,U,7,21,2020,"ever wondered how 3d printers actually work? join c2st to see one explained and in action!

3d printing and other digital fabrication tools allow designers to go quickly from idea to object. learn about how 3d printers work, see one in action, and hear about some case studies from the polsky center for entrepreneurship and innovation at university of chicago.",2,481,127,111
N,08272020_U,163815626997995_315939189682664,https://www.facebook.com/C2ST1/videos/315939189682664/,U,8,27,2020,"dr. kehl-fie will discuss how a pathogen and host’s struggle for essential metals during an infection informs treatment development and expands our understanding of bacteria!

the emergence of antibiotic resistance makes treating infections more difficult. as a result, drug-resistant bacteria, such as staphylococcus aureus or mrsa, pose an increasingly serious threat to human health. transition metals are critical for all forms of life, with 30% of all proteins and 50% of all enzymes predicted to utilize a metal cofactor. pathogens must acquire these critical nutrients from the host. as a defense, the immune system renders sites of infection virtually devoid of these critical nutrients in an attempt to starve the invaders. to counter this defense, bacteria utilize numerous strategies to obtain essential metals, including transporters that directly bind the metal and those that rely on microbially produced small molecules. the latter strategy, using metallophores, was thought to be limited to facilitating the acquisition of iron. however, recent studies revealed that s. aureus utilizes a metallophore and its cognate machinery to compete with the host for zinc. dr. kehl-fie will discuss how studying this newly identified system and the struggle for metal during infection informs the development of strategies for treating infection and our understanding of bacteria that inhabit diverse environments.",2,320,65,58
N,08052020_U,163815626997995_341645600563706,https://www.facebook.com/C2ST1/videos/341645600563706/,U,8,5,2020,"join c2st and orson morrison, psyd for a candid discussion on mental health during the time of covid-19 and coping strategies that can benefit you and your family!

the covid-19 pandemic has altered many aspects of life. this presentation will review some effective strategies for children and families as they navigate through this uncertain and unique time in history. psychological, wellness, and other coping strategies will be reviewed. hear from an expert on how children and families are being impacted by increased isolation as well as the stress that has risen out of an unprecedented global pandemic. importantly, dr. morrison will also delve into critical coping strategies to improve day to day life in these circumstances.",2,470,118,106
N,07092020_U,163815626997995_604032953849979,https://www.facebook.com/C2ST1/videos/604032953849979/,U,7,9,2020,"join c2st and dean bashir to explore the grand opportunities to address grand challenges across engineering, biology, and medicine during covid-19.
in the 8th installment of the science from the frontlines series, dean bashir gives us a closer look into grainger college of  engineering’s response to the covid-19 crisis including his work developing covid-19 diagnostics.",2,438,117,98
N,06252020_U,163815626997995_274170123791143,https://www.facebook.com/C2ST1/videos/274170123791143/,U,6,25,2020,"join c2st as dr. hughes discusses recent and rapid advancements in forensic genomics analyses while also exploring the ethical, legal, and social stakes.
dr. hughes will explore the big picture impact of recent and rapid advancements in forensic genomics analyses, particularly the expansion from the use of traditional forensic genetic markers analyzed in state labs to cutting edge techniques only available at private and non-profit labs. making the most of the often limited dna evidence can mean the difference between a stalled and successful investigation. but with these new techniques and arenas being utilized for evidence interpretation, we must also consider: what is at stake if we move too fast to take on the next tantalizing technology?  lack of transparency, wrongful convictions, misinformation, privacy concerns, bias and more will be discussed.  these promising new technologies provide forensic science with the chance to assist in the most troublesome of cases, and addressing these ethical, legal, and social concerns from the beginning will only serve to strengthen their contributions to science and society.",2,446,131,97
N,08262020_U,163815626997995_3226448280734699,https://www.facebook.com/C2ST1/posts/3226448280734699,U,8,26,2020,[empty],1,199,56,54
N,06302020_U,163815626997995_2351117388522924,https://www.facebook.com/C2ST1/videos/2351117388522924/,U,6,30,2020,"join author michael zapata, and physicist, dr. marcela carena, as they discuss theories about parallel universes and how they impact the ways we think about science, literature, and our own lives!

from the eighth-century the book of the thousand nights and a night to the twentieth-century stories of jorge luis borges, literature has shown us the possibility of other selves, worlds, and even universes. the quantum revolution and recent discoveries in physics and astronomy point to the jaw-dropping idea that our universe may be only one of many universes constituting an infinitely large multiverse. in this talk, dr. marcela carena and michael zapata will discuss various theories about parallel universes and how they impact the ways in which we think about science, literature, and our own lives. it’s at once humbling and stirring to think that our own expansive and often hidden reality might be stranger than fiction.",2,436,162,119
N,08202020_U,163815626997995_3132922820119077,https://www.facebook.com/C2ST1/videos/3132922820119077/,U,8,20,2020,"learn how ancient dna is currently being used to inform studies of human ancestry,  our prehistoric interactions with animals, and our ancestors’ diets!

the field of ancient dna began almost forty years ago with advances in biotechnology. early ancient dna studies held the promise to answer some of life’s most enduring questions but many of these studies came up short. with hard lessons learned, the practitioners of the young field were on track, identifying genetic compositions of extinct species and contributing to forensic science. in the last decade, advances in biotechnology catapulted the study of ancient dna into a new and exciting era.

here, dr. ripan malhi and dr. kelsey witt dillon will highlight a few of their recent projects that were inconceivable just a few years ago. first, they’ll discuss how they identified recovered dna from a historic pipe used by an enslaved african on a maryland plantation, and used it to examine the african ancestry of the pipe’s owner, as well as their living descendants. second, they’ll show how dog coprolites (fossilized poop) from over 1,000 years ago revealed a surprising amount of detail about the diet and health of ancient dogs and indigenous peoples who lived in present-day st. louis.",2,397,102,88
N,07312020_U,163815626997995_3151439228235605,https://www.facebook.com/C2ST1/posts/3151439228235605,U,7,31,2020,[empty],1,99,21,20
N,09242020_U,163815626997995_328542921772260,https://www.facebook.com/C2ST1/videos/328542921772260/,U,9,24,2020,the power of genomics: optimizing health outcomes and wildlife conservation,2,865,208,175
N,08282020_U,163815626997995_3233012440078283,https://www.facebook.com/C2ST1/posts/3233012440078283,U,8,28,2020,have you checked out our &quot;science from the frontlines&quot; youtube playlist? https://buff.ly/2e486fh,2,135,19,19
Y,02062019_TEI,163815626997995_299896280911741,https://www.facebook.com/C2ST1/videos/299896280911741/,array of things,2,6,2019,"chicago is growing smarter every day. want to know how? “the array of things is a collaborative effort among leading scientists, universities, local government, and communities to collect real-time data on urban environment, infrastructure, and activity for research and public use.” over one hundred nodes are installed throughout chicago and more are being added all the time. join the array of things project leader, charlie catlett, and chicago’s chief information officer, danielle dumerer, as they talk about the founding of the project and what they hope to achieve in the future. learn what the array of things is, what information it collects, and how it will inform the future of our city.",2,855,150,114
Y,10142008_LS,163815626997995_333057674003003,https://www.facebook.com/C2ST1/videos/333057674003003/,eol,3,21,2019,"diversity in academia is in the public spotlight. yet, despite some important strides for women in academic science careers, many workplaces and their cultures discriminate against women and can endanger them – professionally, psychologically, and even physically. recent findings have played an important role in shaping new policies at field sites, universities, professional organizations, and funding agencies. rutherford and arreola will summarize this work and share suggestions from the evidence and from the recent nasem (the national academies of sciences, engineering, and medicine)  #sciencetoo report for improving the academic climate for women, sexual minorities, nonbinary persons, and people of color. the responsibility of senior researchers, advisors, and university leadership towards young women entering academia will be emphasized.",2,506,160,136
Y,10162019_LS,163815626997995_2660835784031583,https://www.facebook.com/C2ST1/videos/2660835784031583/,the earliest child,10,16,2019,"join us for a talk with professor zeray alemseged as he presents on how the discovery of an almost complete skeleton of a juvenile early human ancestor has helped scientists answer some of the pressing questions about human evolution. dna and fossil evidence has made it amply clear that we diverged from the apes around 7 million years ago. since then, the two lineages have evolved leading to humans on one hand and chimpanzees on the other. paleoanthropologists endeavor to establish the milestone events that took place on our side of the divergence by making fossil discoveries.

when did we start to walk on two legs? use and make stone tools? have a human-like body proportion? have a large brain? — these are some of the key questions. despite major achievements, many aspects of these questions remain unanswered due to the fragmentary nature of the fossil record. ongoing research on the earliest child found in dikika, ethiopia, and nicked named “selam,” is shedding light on patterns of childhood, locomotion, dental and brain development, and many issues pertaining to human evolution. while most of our knowledge in paleoanthropology comes from remains of adult individuals like lucy, fossil children also have unique stories to tell. our knowledge of human evolution will be complete when we combine the two.
key to our understanding of the immune system is how it detects microbial pathogens and cancer cells and how it avoids attacking our own tissues in normal situations. an important mechanism of this immune detection is the detection of dna from microbial pathogens and cancer cells. our lab discovered the dna sensing enzyme cgas and the pathway through which cgas launches immune and autoimmune responses. dr. chen will discuss the current status of immunotherapies and describe efforts in harnessing the cgas pathway to fight cancer and autoimmune diseases.

with an introduction by kenneth d. bahk, phd.

this program is generously supported by the ann lurie trust.",2,2928,788,730
Y,06052010_SS,163815626997995_516966732370029,https://www.facebook.com/C2ST1/videos/516966732370029/,leon lederman,9,25,2019,"this event will highlight dr. lederman’s contributions to science research at fermilab and beyond, science education, and science outreach.

dr. leon lederman was a nobel prize-winning physicist with a passion for science education. he served as the director of fermilab from 1979 to 1989. in 1992, he moved to the illinois institute of technology, where he chose to teach freshman physics. he retired in 2011. with a career that spanned more than 60 years, lederman, who passed away last year, became one of the most important figures in the history of particle physics. he was responsible for several breakthrough discoveries, uncovering new particles that elevated our understanding of the fundamental universe. his nobel prize was awarded in 1988 for discovery of the muon neutrino. but perhaps his most critical achievements were his influence on the field of physics and his efforts to improve science education. in later years, lederman continued his outreach efforts, often in memorable ways. sometimes, he would even set up shop on the streets of new york city and chicago, and answer science questions from passersby.

through his research, lederman set the stage for fermilab’s past and future success. the international long-baseline neutrino facility/deep underground neutrino experiment, hosted by fermilab, is an international flagship science project to unlock the mysteries of neutrinos. by studying neutrinos, particles at the heart of dr. lederman’s work, scientists at fermilab and across the world will paint a clearer picture of the universe and how it works. this will be the largest science experiment ever hosted on u.s. soil.

during this celebration of dr. lederman’s legacy, expect a variety of physics-themed discussions and events, including a physics slam and an ask-a-physicist panel!

a physics slam is a fun competition that pairs a student from the illinois mathematics and science academy (co-founded by dr. lederman) with a fermilab scientist. expect a no-holds-barred, light-hearted competition. who will the audience choose as the winner?

in the spirit of his outreach efforts, the program also will have an ask-a-physicist panel. a team of scientists will take questions from the audience, in the same informal style of dr. lederman taking questions from people in chicago and new york city",2,646,166,132
Y,05012012_PS,163815626997995_2700080293429895,https://www.facebook.com/C2ST1/videos/2700080293429895/,cern,6,17,2020,"join c2st on facebook live for a discussion on how art and physics complement one another!

“scientists and artists both thrive on uncertainty and a sense of adventure.” these two ideas have inspired lindsay olson during her residency at fermilab. working with fermilab scientists, like dr. kirsty duffy, she created a body of work about the standard model, neutrino research, and the cms experiment at cern.
dr. duffy will talk about the neutrino, the universe’s weirdest particle. she will share her excitement about the research she is doing at fermilab with hundreds (or thousands!) of scientists from around the world, and try to explain why she and so many people have dedicated their lives to understanding a particle that can’t even be seen. lindsay will talk about the impact of working collaboratively with scientists and using what she learns to create art that helps others understand science. she will share how her projects evolved and changed not only how she made art but how she views her role as an artist in the wider community.",2,2540,384,322
Y,07022020_PS,163815626997995_225096068458728,https://www.facebook.com/C2ST1/videos/225096068458728/,neutrino 2020 physics slam,7,2,2020,"join c2st and fermilab for the neutrino 2020 physics slam!

have you always wanted to learn about neutrinos? did you know there is a virtual conference going on with over 3,000 neutrino physicists? the physics slam! will be the closing event of the conference. three attendees will tell the whole world about neutrinos and neutrino research in 10 minutes or less using whatever means they can think of virtually. they will attempt to amaze and educate in hopes of being the slam! champion. you’ll have a chance to ask any burning questions you might have and vote for your favorite. one of these physicists will walk away as the neutrino 2020 slam! champion. join us to find out who it will be.",2,792,205,181
